Date,Description,Recordable
12/9/2019,Stepped on a screw which went in his foot about an inch,Y
1/3/2022,Drop multi cut coil off truck,N
1/18/2022,Dropped coil off coil cart at Pro-Eco,N
1/26/2022,Knocked over a stack of processed cuts with a forklift,N
1/27/2022,Employee was banding and caught finger on the edge of the steel,Y
2/21/2022,Employee cut finger with grinder when it got caught in a piece of steel and came back on him,Y
3/1/2022,Employee cut hand while pulling trim on the Stamco,Y
3/9/2022,Employee hit in the face by a piece of steel on the recoiler,Y
4/12/2022,Employee twisted and hurt back while stacking pallets,Y
5/27/2022,Employee turned pack line monorail crane in the same direction causing the cord to wrap around the hook,N
9/15/2022,Employee was banding a coil on the Stamco when he cut his right arm,Y
9/19/2022,Employee was tearing down a setup when another employee pulled tooling into his finger and mashed it,Y
10/6/2022,Employee was hit by a cut that came,Y
1/24/2023,Coil fell from Crane on Packline,N
1/30/2023,Band broke and hit employee in neck,N
1/30/2023,Coil fell causing coil cart to flip,N
2/13/2023,Stepped between roller on red but exit and fell on hip,N
3/23/2023,Reached over to write number on coil and cut arm,Y
5/22/2023,Dropped coil from cart at Braner,N
5/25/2023,Improperly stacked coils,N
5/26/2023,Crane lowered while picking up sheets,N
5/31/2023,Employee got finger caught in gear of tensioner at Stamco,N
6/15/2023,Adjusting nozzle on sprayer and got oil in left eye,N
6/16/2023,Pulling material with bar and employee fell backwards and hit back,N
7/19/2023,Cutting sample with grinder and hit finger,Y
7/19/2023,Employee twisted ankle removing scrap from Stamco,N
7/24/2023,Pinched hand while building setup at Stamco,Y
7/26/2023,Dropped arm from Stamco coil cart on their foot,Y
7/26/2023,Stepped in hole at red bud stacker,N
8/3/2023,Dumping scrap at Braner and material hit them in the cheek,Y
8/8/2023,Weld machine fell off forks when being moved,N
8/9/2023,Material slid on trailer breaking leaf springs,N
8/18/2023,Cleaning out old pit and material cut employees hand,Y
8/25/2023,Golf cart damaged by coil,N
8/29/2023,Sawdust caught fire in area where pallets are built,N
8/30/2023,Employee stood on table of Braner without pins installed,N
9/15/2023,Employee using crowbar and crowbar slipped and hit employee in chin,Y
10/18/2023,Employee moving a stack of bearings when a bearing fell on their right wrist,Y
11/1/2023,Employee was removing material from the transfer cart at the Stamco pack line and in the process of picking up the material knocked the cuts off of the transfer cart,N
11/6/2023,Employee was lifting material with pry bar in order to get lifting device into place when the pry bar slipped and pinched their finger,N
11/16/2023,Truck tipped over when coming back from SDI loaded with coils,N
11/18/2023,Operator cut forearm while pulling scrap on recoiler,Y
11/28/2023,Employee pinched by Braner table,N
1/8/2024,Employee slipped when handing another employee a tool and injured their shoulder,Y
1/27/2024,Employee cut hand on hydraulic hose guard at braner,N
1/29/2024,Emergency lighting did not turn on when power went out,N
1/29/2024,Employees arm caught in mechanism that moves side to side while the scrap winder is running,N
2/3/2024,Employee tripped at packline,N
2/5/2024,Employees standing on line with pit tables lowered,N
2/6/2024,Coils not stacked properly,N
2/8/2024,Sheet bundles dropped in sheet shipping bay,N
2/13/2024,Coil dropped at Braner,N
2/20/2024,E-stop on setup side winder on Braner not working,N
2/21/2024,Empoyee fell at Stamco when changing recoiler filter,N
3/2/2024,Employee struck by head of coil at Braner when cutting banding,N
3/18/2024,Employee hand pinched by chain on braner coil cart motor,N
3/22/2024,Crank handle struck employee in arm,Y
